João Gilberto | Desafinado
Marcello Gugu | O Balé de Muhammad Ali
Anderson Freire | Coração Valente
Apanhador Só | Cartão Postal
Eduardo Costa | Amor De Violeiro
Rodrigo Amarante | Tuyo
Daniel | GOOBA
Chimarruts | Versos Simples
Israel e Rodolffo | Da Água Pro Lixo
RPM | Olhar 43
Racionais | Negro Drama
Planta e Raíz | Com Certeza
Aviões do Forró | Ziriguidum
Mariana Fagundes | Só Mais Um Pedido
Art Popular | Sem Abuso
Dona Ivone Lara | Alguém Me Avisou
Ftampa | Love Is All We Need
Vanessa da Mata | Não Me Deixe Só
Jade Baraldo | Vou Passar
Alcione | A Loba
Mariana Nolasco | Me Sinto Eu
Sandy | Sarah
Luiza Possi | Amanheceu
Biquini Cavadão | Vento ventania
Munhoz e Mariano | Eu vou pegar voce e tãe
Sergio Reis | O Menino Da Porteira
Ego Kill Talent | Still Here
Marcos Valle | So Nice (Summer Samba)
CPM 22 | Não Sei Viver sem Ter Você
Ney Matogrosso | Poema
Matheus VK | Pélvis
Lia Clark | Trava Trava
Cartola | Preciso Me Encontrar
Lexa | Só Depois do Carnaval
Negra Li | Brasilândia
Lenine | Leve e Suave (Ao Vivo)
Jorge Ben Jor | País Tropical
Raul Seixas | Ouro de Tolo
Chiclete com Banana | Gritos De Guerra
Fred e Gustavo | Então valeu
Gian e Giovani | Quem Ama Perdoa
MC Pocahontas | Eu Sentei Tu Gamou
Almir Sater | Cabecinha no Ombro
Loubet | Singular
Belchior | Como Nossos Pais
Dani Russo | Jeito Malicioso
Wilson Simonal | País Tropical
Sandra de Sá | Bye Bye Tristeza
Bonde R300 | Brisadão na dela
Novos Baianos | Preta Pretinha
Milionário e José Rico | Estrada Da Vida
Dream Team do Passinho | Oi Sumido
Oficina G3 | Aos Pés da Cruz
Almir Guineto | Caxambu
Gusttavo Lima | Balada (Tchê Tcherere Tchê Tchê)
Lulu Santos | Apenas Mais Uma de Amor
MC Kevin | Cavalo de Troia
MC Dede | Pega a Receita
MC CL | Wat’s Wrong
Strike | U Sure Do
Gabriela Rocha | Eu sou teu (rooftops)
Céu | Varanda Suspensa
Mc Jhowzinho e MC Kadinho | Soca Soca
Paulinho da Viola | Dança da solidão
Luiz Lins | Escama
Simone e Simaria | Um Em Um Milhão
Tati Zaqui | Escandalosa
Boogarins | Foimal
Paulo Ricardo | Dois
Aline Barros | Sonda-me, Usa-me
Andy Bianchini | Backseat
